,game,model,experiment,episode,metric,value
0,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,Violated Request Count,0.0
1,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,Parsed Request Count,16.0
2,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,Request Count,16.0
3,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,Request Success Ratio,1.0
4,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,hallucination_count,0.0
5,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,action_parsing_fail,1.0
6,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,action_resolution_fail,0.0
7,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,lark_exception,0.0
8,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,malformed_command,0.0
9,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,undefined_action_verb,0.0
10,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,undefined_action,0.0
11,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,undefined_repr_str,1.0
12,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,manipulating_room,0.0
13,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,undefined_argument_type,0.0
14,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,taking_from_inventory,0.0
15,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,other_room_argument,0.0
16,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,domain_trait_type_mismatch,0.0
17,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,domain_type_discrepancy,0.0
18,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,world_state_discrepancy,0.0
19,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,entity_not_accessible,0.0
20,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,entity_state_mismatch,0.0
21,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,entity_trait_mismatch,0.0
22,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,entity_already_inventory,0.0
23,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,going_to_current_room,0.0
24,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,no_exit_to,0.0
25,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,inventory_limit_exceeded,0.0
26,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,successful_actions,15.0
27,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,turn_limit_loss,0.0
28,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,turns_over_par,5.0
29,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,turn_ratio,0.8717948717948718
30,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,finish_speed,0.1282051282051282
31,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,achieved_goal_ratio,1.0
32,adventuregame,o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,0_home_deliver_three_basic_easy,episode_4,achieved_goal_rating,100.0
